text,condition,record_type
Ultrasound-guided fine needle aspirate of bone lesion performed; cytology pending.,Mobility Problems,Clinical Notes
"Prescribe isoxazoline (e.g., Bravecto, Nexgard, Simparica, Credelio) for flea/tick control.",Parasites,Clinical Notes
My rabbit developed an abscess below its ear.,Ear Infections,Owner Observation
Differential diagnoses for head tilt include peripheral vestibular condition (ear-related) vs. central vestibular condition.,Ear Infections,Clinical Notes
My cat has a swollen lower lip.,Skin Irritations,Owner Observation
"My cat passed several long, white, round worms in her stool.",Parasites,Owner Observation
Hookworm eggs in stool; prescribe fenbendazole.,Parasites,Clinical Notes
My cat has fleas resistant to the spot-on treatment I used.,Parasites,Owner Observation
Cat seems to have nerve damage in her front leg after an injury.,Mobility Problems,Owner Observation
Recheck appointment scheduled in 10-14 days to assess response to treatment.,Ear Infections,Clinical Notes
Dog has hookworm anemia.,Parasites,Owner Observation
"Differential diagnoses for head shaking include foreign body, mites, infection, polyp, allergy.",Ear Infections,Clinical Notes
"Systematic orthopedic examination performed, isolating pain/instability to specific joint/bone.",Mobility Problems,Clinical Notes
Demonstrate ear cleaning technique to owner.,Ear Infections,Clinical Notes
Cleaned ears thoroughly with ceruminolytic agent; owner instructed on home cleaning.,Ear Infections,Clinical Notes
Foreign body identified on radiograph; proceed to surgery.,Digestive Issues,Clinical Notes
"Pattern baldness (e.g., pinnal, ventral) noted; likely cosmetic.",Skin Irritations,Clinical Notes
"My dog's hind legs seem uncoordinated, crossing over each other.",Mobility Problems,Owner Observation
Dog has yellowish diarrhea.,Digestive Issues,Owner Observation
"Assess hydration: CRT <2s, moist MM, good skin turgor. Patient appears euhydrated.",Digestive Issues,Clinical Notes
"Use moxidectin (Advantage Multi, ProHeart) for heartworm, fleas, roundworms, hookworms, whipworms, sarcoptic mange, ear mites (depending on formulation/species).",Parasites,Clinical Notes
Guinea pig is not moving around its cage much.,Mobility Problems,Owner Observation
Gastric motility issue; prescribe prokinetics.,Digestive Issues,Clinical Notes
"Dog has adult-onset generalized demodicosis, need to check for underlying issues.",Parasites,Owner Observation
"My kitten has fleas, I saw them jumping.",Parasites,Owner Observation
Dog has developed bald spots on his muzzle and around his eyes.,Parasites,Owner Observation
Alopecia and crusting on belly; test for yeast infection.,Skin Irritations,Clinical Notes
Fecal direct smear shows motile Giardia trophozoites. Zinc sulfate flotation confirms cysts.,Parasites,Clinical Notes
"Skin fragility syndrome in older cat; handle gently, check for underlying conditions (hyperadrenocorticism, diabetes).",Skin Irritations,Clinical Notes
"Educate owner on parasite transmission routes (fecal-oral, vectors, transplacental, transmammary).",Parasites,Clinical Notes
"Ferret has tiny black specks in its fur, might be dirt or bugs.",Skin Irritations,Owner Observation
My cat doesn't seem to hear me approaching from one side.,Ear Infections,Owner Observation
Dog has itchy bumps primarily on his back near the tail.,Skin Irritations,Owner Observation
"Consider fecal PCR testing for diagnosing difficult parasites (e.g., Tritrichomonas).",Parasites,Clinical Notes
My dog has lost muscle mass in his hind legs.,Mobility Problems,Owner Observation
"Cat vomited something that looked dark brown, like old blood.",Digestive Issues,Owner Observation
Provide written discharge instructions.,Ear Infections,Clinical Notes
Acute vomiting and diarrhea; suspect gastroenteritis.,Digestive Issues,Clinical Notes
Urticaria/angioedema likely due to insect sting/bite; administer diphenhydramine and dexamethasone.,Skin Irritations,Clinical Notes
"Dog has black, tar-like stool.",Digestive Issues,Owner Observation
"Cat has itchy, crusty lesions on the bridge of her nose.",Skin Irritations,Owner Observation
Pain elicited on opening mouth fully; may indicate TMJ involvement or referred pain from otitis media.,Ear Infections,Clinical Notes
Juvenile cellulitis ('puppy strangles') diagnosed; initiate immunosuppressive steroid therapy.,Skin Irritations,Clinical Notes
Dog’s ears have a greasy discharge and bad smell.,Ear Infections,Owner Observation
Arthrocentesis performed; joint fluid analysis pending.,Mobility Problems,Clinical Notes
Cat’s ears are hot and have a yeasty smell.,Ear Infections,Owner Observation
Suspect otitis media secondary to chronic otitis externa based on head tilt and pain.,Ear Infections,Clinical Notes
"Recommend environmental modifications (ramps, non-slip flooring, raised feeders, orthopedic bed).",Mobility Problems,Clinical Notes
My cat has developed swelling on her lip.,Skin Irritations,Owner Observation
Advise strict confinement to prevent falls/injury in ataxic patients.,Ear Infections,Clinical Notes
Emphasize that many ear conditions require lifelong management rather than a cure.,Ear Infections,Clinical Notes
Fecal PCR for Tritrichomonas foetus recommended for refractory feline diarrhea.,Digestive Issues,Clinical Notes
My dog likely got tapeworms from ingesting fleas.,Parasites,Owner Observation
My dog has had surgery (TECA) for end-stage ear condition.,Ear Infections,Owner Observation
Unilateral otitis externa in older dog with mass obstructing canal. Biopsy confirms ceruminous gland adenocarcinoma.,Ear Infections,Clinical Notes
My dog is reluctant to go up or down stairs.,Mobility Problems,Owner Observation
"Ferret has dark, crusty debris in his ears, likely mites.",Parasites,Owner Observation
Dog tires easily on walks and wants to turn back early.,Mobility Problems,Owner Observation
Pain medication trial initiated to assess response.,Mobility Problems,Clinical Notes
My dog's kneecap pops in and out of place (luxating patella).,Mobility Problems,Owner Observation
My rabbit has sores on its feet and is losing fur there.,Parasites,Owner Observation
"Video otoscopy performed for thorough cleaning, myringotomy, and middle ear flush/culture.",Ear Infections,Clinical Notes
My cat vomited something that looked like a small worm.,Parasites,Owner Observation
Ferret has hind limb paralysis.,Mobility Problems,Owner Observation
Lymphangiectasia suspected based on ultrasound and hypoalbuminemia.,Digestive Issues,Clinical Notes
"Dog has red, irritated skin and black specks (like dirt) that turn red when wet.",Parasites,Owner Observation
"Ferret is anemic, possibly due to fleas.",Parasites,Owner Observation
"Cat moves very deliberately, almost like she's walking on eggshells.",Mobility Problems,Owner Observation
Skin biopsy submitted for histopathology to rule out neoplasia/immune-mediated condition.,Skin Irritations,Clinical Notes
Bacterial ear infection; start oral antibiotics.,Ear Infections,Clinical Notes
"Noticed a thick, dark brown discharge inside my dog's ear flap.",Ear Infections,Owner Observation
Positive response to Tensilon (edrophonium chloride) injection supports diagnosis of myasthenia gravis.,Mobility Problems,Clinical Notes
Puppy cries and tries to bite when I touch near his left ear.,Ear Infections,Owner Observation
My cat's fur along her spine looks greasy and matted.,Skin Irritations,Owner Observation
Schedule follow-up appointment to monitor progress.,Mobility Problems,Clinical Notes
The opening to my dog's ear canal looks swollen almost closed.,Ear Infections,Owner Observation
"Stress importance of completing entire course of antibiotics/antifungals, even if ears look better.",Ear Infections,Clinical Notes
Fecal Giardia antigen test performed using SNAP or ELISA method.,Parasites,Clinical Notes
"Recommend highly digestible therapeutic diet (e.g., Hill's i/d, Royal Canin GI).",Digestive Issues,Clinical Notes
Cat is rubbing the side of her head on the floor and furniture.,Ear Infections,Owner Observation
Dog has a hematoma that keeps refilling after being drained.,Ear Infections,Owner Observation
"Provide detailed estimate covering costs of diagnostics (radiographs, bloodwork, MRI) and potential treatments (medications, surgery, rehab).",Mobility Problems,Clinical Notes
Cat is grooming her belly so much it's almost bald.,Parasites,Owner Observation
Teach owner passive range of motion (PROM) exercises and massage techniques.,Mobility Problems,Clinical Notes
Dog has small blood spots on the skin where he's been scratching.,Skin Irritations,Owner Observation
"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",Skin Irritations,Clinical Notes
No evidence of ectoparasites on thorough examination.,Skin Irritations,Clinical Notes
Cutaneous trunci reflex absent caudal to L1 dermatome.,Mobility Problems,Clinical Notes
Palpable 'sausage-like' mass in mid-abdomen; ultrasound confirms intussusception. Surgical correction required.,Digestive Issues,Clinical Notes
Recommend advanced imaging (CT scan) to evaluate extent of middle/inner ear involvement and rule out neoplasia.,Ear Infections,Clinical Notes
Rabbit is shaking its head and scratching behind the ears.,Parasites,Owner Observation
The discharge from the ear is bloody.,Ear Infections,Owner Observation
Giardia antigen test positive; prescribe fenbendazole.,Digestive Issues,Clinical Notes
Direct fecal smear performed to look for motile trophozoites (Giardia).,Parasites,Clinical Notes
"Dog has very dark, almost black stool.",Digestive Issues,Owner Observation
"Horner's syndrome (miosis, ptosis, enophthalmos) noted; likely due to middle ear pathology.",Ear Infections,Clinical Notes
"My dog's joints seem swollen, especially his knees.",Mobility Problems,Owner Observation
My dog sometimes walks on the top of his paw instead of the pad.,Mobility Problems,Owner Observation
"Guinea pig has Trixacarus mange, causing intense itching and seizures.",Parasites,Owner Observation
My hamster is scratching behind its ears constantly.,Skin Irritations,Owner Observation
"Hepatic encephalopathy suspected due to neurological signs (head pressing, disorientation) and liver dysfunction (elevated bile acids).",Digestive Issues,Clinical Notes
"Ferret seems weak in his back legs, dragging them slightly.",Mobility Problems,Owner Observation
Plasma cell pododermatitis ('pillow foot') diagnosed in cat.,Skin Irritations,Clinical Notes
"My dog gets ear infections constantly, vet thinks mites might be involved.",Parasites,Owner Observation
Cat has difficulty grooming her back.,Mobility Problems,Owner Observation
Puppy vomited undigested food several hours after eating.,Digestive Issues,Owner Observation
"Melena reported by owner; confirmed on rectal thermometer. Indicates upper GI bleeding. Start gastroprotectants (famotidine/omeprazole, sucralfate).",Digestive Issues,Clinical Notes
My cat has a drooping eyelid and smaller pupil on the same side as the head tilt.,Ear Infections,Owner Observation
My senior dog is having trouble getting up from his bed.,Mobility Problems,Owner Observation
"Dog strains to defecate, only producing small amounts of liquid.",Digestive Issues,Owner Observation
Ferret has orange-ish discoloration of the skin.,Skin Irritations,Owner Observation
Seborrhea oleosa diagnosed; recommend medicated shampoo with benzoyl peroxide.,Skin Irritations,Clinical Notes
